tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS DUAL GEFORCE RTX 5060 8GB OC GDDR7,"$575.00 
El precio original era: $575.00.
$499.99
El precio actual es: $499.99.",https://nomadaware.com.ec/producto/gpu-asus-dual-rtx-5060-8gb-oc-gddr7/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE EAGLE ICE NVIDIA RTX 5060 TI 16GB OC GDDR7,"$908.50 
El precio original era: $908.50.
$789.99
El precio actual es: $789.99.",https://nomadaware.com.ec/producto/gigabyte-eagle-ice-rtx-5060-ti-16gb-oc/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS ROG ASTRAL NVIDIA RTX 5090 32GB OC GDDR7,"$5163.50 
El precio original era: $5163.50.
$4489.99
El precio actual es: $4489.99.",https://nomadaware.com.ec/producto/asus-rog-astral-rtx-5090-32gb-oc-gddr7/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE GAMING AMD RADEON RX 9070 16GB OC GDDR6,"$1150.00 
El precio original era: $1150.00.
$999.99
El precio actual es: $999.99.",https://nomadaware.com.ec/producto/gigabyte-amd-radeon-rx-9070-16gb-oc/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS TUF GEFORCE RTX 5070 12GB OC GDDR7,"$1207.50 
El precio original era: $1207.50.
$1049.99
El precio actual es: $1049.99.",https://nomadaware.com.ec/producto/gpu-asus-tuf-rtx-5070-12gb-oc-gddr7/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE GAMING GEFORCE RTX 5070 TI 16GB OC GDDR7,"$1667.50 
El precio original era: $1667.50.
$1449.99
El precio actual es: $1449.99.",https://nomadaware.com.ec/producto/gpu-gigabyte-gaming-rtx-5070-ti-16gb-oc/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE AORUS ELITE AMD RADEON RX 9070 XT 16GB OC,"$1368.50 
El precio original era: $1368.50.
$1189.99
El precio actual es: $1189.99.",https://nomadaware.com.ec/producto/gpu-gigabyte-aorus-elite-amd-radeon-rx-9070-xt-16gb-oc/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE AERO SFF NVIDIA RTX 5080 16GB OC GDDR7,"$2300.00 
El precio original era: $2300.00.
$1999.99
El precio actual es: $1999.99.",https://nomadaware.com.ec/producto/gpu-gigabyte-aero-sff-rtx-5080-16gb-oc/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS ROG ASTRAL GEFORCE RTX 5080 16GB OC GDDR7,"$2748.50 
El precio original era: $2748.50.
$2389.99
El precio actual es: $2389.99.",https://nomadaware.com.ec/producto/asus-rog-astral-rtx-5080-16gb-oc-gddr7/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS TUF GEFORCE RTX 4070 TI SUPER BTF WHITE OC EDITION 16GB GDDR6X,"$1437.50 
El precio original era: $1437.50.
$1249.99
El precio actual es: $1249.99.",https://nomadaware.com.ec/producto/asus-tuf-gaming-rtx-4070-ti-super-btf/,2026-06-30 01:48:38
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE AORUS XTREME RADEON RX 6900 XT 16GB GDDR6,"$1550.00 
El precio original era: $1550.00.
$790.90
El precio actual es: $790.90.",https://nomadaware.com.ec/producto/gpu-aorus-xtreme-radeon-rx-6900-xt-12gb/,2026-06-30 01:48:38
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE RED PCIE X1 TP-LINK TL-WN881ND,$15.00,https://nomadaware.com.ec/producto/adaptador-tp-link-tl-wn881nd/,2026-06-30 01:48:38
NomadaWare,Ecuador,USD,RAM,memoria ram,8GB RAM SO-DIMM DDR5 KINGSTON KCP 5600MTS CL46,$110.00,https://nomadaware.com.ec/producto/8gb-so-dimm-kingston-ddr5-5600mt-s-cl46/,2026-06-30 01:48:48
NomadaWare,Ecuador,USD,RAM,memoria ram,32GB RAM SO-DIMM DDR5 KINGSTON FURY IMPACT 5600MTS CL40,$400.00,https://nomadaware.com.ec/producto/32gb-so-dimm-ddr5-kingston-fury-impact/,2026-06-30 01:48:48
NomadaWare,Ecuador,USD,RAM,memoria ram,16GB RAM SO-DIMM DDR5 KINGSTON FURY IMPACT 5600MTS CL40,$200.00,https://nomadaware.com.ec/producto/16gb-so-dimm-ddr5-kingston-fury-impact/,2026-06-30 01:48:48
