tienda,pais,moneda,categoria,producto,clave_canonica,precio_raw,precio_usd,precio_eur,precio_brl,precio_mxn,precio_gbp,url_producto,fecha_extraccion,fecha_staging
CompuGamer,Ecuador,USD,PERIFERICO,"Mouse Genius Óptico DX-110, Alámbrico, USB, 1000DPI, Negro",genius mouse 1000dpi,"$6,00 El precio original era: $6,00. $5,00 El precio actual es: $5,00. IVA INCLUIDO",5.0,4.38,25.82,87.38,3.78,https://www.compugamer.com.ec/gamers/producto/dx-110/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR AMD RYZEN 5 8500G AM5 3.5GHZ DDR5 6 NUCLEOS 12 HILOS,ryzen 5 8500g,"$248,99",248.99,218.3,1285.76,4351.2,188.2,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR AMD RYZEN 5 5600GT AM4 3.6GHZ DDR4 WRAITH STEALTH 6 NUCLEOS,ryzen 5 5600gt,"$229,99",229.99,201.64,1187.65,4019.17,173.84,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR LENOVO SERVIDOR SR550/SR590/SR650 Intel Xeon Silver 4208 8C 85W 2.1GHz,sin_clasificar,"$951,99",951.99,834.64,4915.98,16636.41,719.58,https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR LENOVO SERVIDOR SR530/SR570/SR630 Intel Xeon Silver 4214 12C 85W 2.2GHz,sin_clasificar,"$1.762,99",1762.99,1545.67,9103.9,30808.96,1332.59,https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30,2026-08-05
Computron,Ecuador,USD,GPU,TARJETA DE VIDEO ASUS DUAL GeForce RTX™ 3050 OC 6GB GDDR6X DOS VENTILADORES PCIe 4.0/DVI/HDMI/DP,sin_clasificar,"$299,99",299.99,263.01,1549.12,5242.45,226.75,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,GPU,TARJETA TPLINK PCIe x1 WIFI 300Mbps 2 ANTENAS DESMONTABLES,sin_clasificar,"$14,99",14.99,13.14,77.41,261.96,11.33,https://www.computron.com.ec/producto-categoria/redes/adaptadores/,2026-06-30,2026-08-05
Computron,Ecuador,USD,RAM,MEMORIA SODIMM HIKSEMI 16GB DDR4 3200MHz,hiksemi 16gb ddr4 sodimm 3200mhz,"$259,99",259.99,227.94,1342.56,4543.43,196.52,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD EXT ADATA 1TB - 2000 MB/s- SE880- USB 3.2 Gen2 x2,sin_clasificar,"$274,99",274.99,241.09,1420.02,4805.56,207.86,https://www.computron.com.ec/producto-categoria/almacenamiento/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD INT M.2 ADATA 1TB 2280 LEGEND 710 PCle Gen3 x4,sin_clasificar,"$329,99",329.99,289.31,1704.04,5766.71,249.43,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD INT M.2 ADATA 512GB 2280 LEGEND 710 PCle Gen3 x4,adata 512gb nvme,"$124,99",124.99,109.58,645.44,2184.25,94.48,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD INT ADATA 1TB SU-650 SATA 6Gb-s 2.5Inc 3D-NAND,sin_clasificar,"$258,99",258.99,227.06,1337.4,4525.95,195.76,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD INT M.2 HIKSEMI WAVE 512GB 2280 NVME PCIe SATA 3.0,hiksemi 512gb nvme,"$169,99",169.99,149.04,877.81,2970.64,128.49,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD INT M.2 HIKSEMI WAVE 1TB 2280 NVME PCIe,sin_clasificar,"$319,99",319.99,280.54,1652.4,5591.95,241.87,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,"DISCO SOLIDO SSD INT HIKSEMI WAVE 512GB SERIES 2.5"" SATA 3.0",hiksemi 512gb sata,"$139,99",139.99,122.73,722.89,2446.38,105.81,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,"DISCO LENOVO M.2 5300 240GB SATA 6GBPS Non HS SSD/SR250V2,ST550,SR530,SR550,SR570,SR630,SR650,650 V2",lenovo 240gb nvme,"$369,99",369.99,324.38,1910.59,6465.72,279.66,https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR XTRATECH 19.5"" LED 1600X900 HDMI VGA 60 Hz PARLANTES INTEGRADOS",sin_clasificar,"$89,99",89.99,78.9,464.7,1572.61,68.02,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR XTRATECH 24"" FULL HD 1920X1080 100Hz VGA HDMI",sin_clasificar,"$159,99",159.99,140.27,826.17,2795.89,120.93,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR INDURAMA 25"" VORTIX NOVA IPS FHD 1080p 120Hz",sin_clasificar,"$174,99",174.99,153.42,903.63,3058.02,132.27,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR INDURAMA 27"" VORTIX NOVA IPS FHD 1080p 120Hz",sin_clasificar,"$197,99",197.99,173.58,1022.4,3459.95,149.65,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR INDURAMA 32"" GAMER CURVO VORTIX ULTRA VA FHD 1080p 180Hz",sin_clasificar,"$499,99",499.99,438.36,2581.9,8737.53,377.93,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR INDURAMA 22"" VORTIX CORE VA FHD 1080p 100Hz",sin_clasificar,"$138,99",138.99,121.86,717.73,2428.91,105.06,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR XTRATECH 21.5"" FHD LCD 1920×1080 HDMI - VGA- 100Hz",sin_clasificar,"$229,99",229.99,201.64,1187.65,4019.17,173.84,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR XTRATECH 19.5"" LCD1600×900 HDMI VGA 75Hz",xtratech lcd1600,"$89,99",89.99,78.9,464.7,1572.61,68.02,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR LG 27"" LED GAMER ULTRAGEAR IPS 1080p 180Hz HDMI-DP PIVOTE",sin_clasificar,"$439,99",439.99,385.75,2272.06,7689.0,332.58,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,MONITOR,"MONITOR LG 24"" (23.8) LED IPS 1080p HDMIx2",sin_clasificar,"$279,99",279.99,245.48,1445.84,4892.94,211.64,https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO DELL XPS 7590 BLACK (BACKLIT SMALL ENTER),sin_clasificar,"$102,99",102.99,90.29,531.83,1799.79,77.85,https://www.computron.com.ec/producto-categoria/computadoras/accesorios/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO XTECH ALAMBRICO USB MULTIMEDIA,sin_clasificar,"$8,99",8.99,7.88,46.42,157.1,6.8,https://www.computron.com.ec/producto-categoria/computadoras/accesorios/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO PRIMUS ALAMBRICO GAMER BALLISTA USB-C TRENZADO DESMONTABLE NEGRO,sin_clasificar,"$39,99",39.99,35.06,206.5,698.84,30.23,https://www.computron.com.ec/producto-categoria/computadoras/gamer/accesorios-gamer/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO EZMI ALAMBRICO GAMER RETROILUMINADO USB - NEGRO,sin_clasificar,"$19,99",19.99,17.53,103.23,349.33,15.11,https://www.computron.com.ec/producto-categoria/computadoras/accesorios/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO EZMI ALAMBRICO USB - NEGRO,sin_clasificar,"$7,99",7.99,7.01,41.26,139.63,6.04,https://www.computron.com.ec/producto-categoria/computadoras/accesorios/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO ASUS G713 G713Q G713QE G713QM BLACK US (RGB BLACKLIT WIN8),asus teclado g713qe,"$119,99",119.99,105.2,619.62,2096.87,90.7,https://www.computron.com.ec/producto-categoria/computadoras/accesorios/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO HP 15-FD 15-FC GRAY,hp teclado 15-fd,"$119,99",119.99,105.2,619.62,2096.87,90.7,https://www.computron.com.ec/producto-categoria/computadoras/accesorios/,2026-06-30,2026-08-05
Computron,Ecuador,USD,PERIFERICO,TECLADO LOGITECH INALAMBRICO K250 BLUETOOTH - NEGRO,logitech teclado k250,"$28,99 $19,99",19.99,17.53,103.23,349.33,15.11,https://www.computron.com.ec/producto-categoria/computadoras/accesorios/,2026-06-30,2026-08-05
