categoria_busqueda,tienda,producto,precio_tarjeta,precio_credito
mouse,Computron,MOUSE XTECH ALAMBRICO 3 BOTONES USB - NEGRO,"$3,99",Crédito Directo 6 cuotas de: $1.01
mouse,Computron,MOUSE KLIP XTREME INALAMBRICO VERTICAL NEGRO,"$20,99",Crédito Directo 3 cuotas de: $10.20
mouse,Computron,MOUSE XTECH INALAMBRICO 1200dpi USB NEGRO,"$9,99",Crédito Directo 3 cuotas de: $4.98
mouse,Computron,MOUSE XTECH ALAMBRICO GAMER USB 3D ROJO,"$14,98",Crédito Directo 3 cuotas de: $7.46
mouse,Computron,MOUSE PAD XTECH 22x18 cm NEGRO,"$0,99",Crédito Directo 3 cuotas de: $0.50
mouse,Computron,MOUSE PAD XTECH 22.5x19.5 cm CON ALMOHADILLA GEL,"$6,99",Crédito Directo 3 cuotas de: $3.48
mouse,Computron,MOUSE XTECH ALAMBRICO USB 3 BOTONES CON LUZ - NEGRO,"$3,99",Crédito Directo 6 cuotas de: $1.01
mouse,Computron,MOUSE KLIP XTREME INALAMBRICO USB - NEGRO,"$9,99",Crédito Directo 3 cuotas de: $4.98
mouse,Computron,MOUSE KLIP XTREME INALAMBRICO USB - AZUL,"$9,99",Crédito Directo 6 cuotas de: $2.54
mouse,Computron,MOUSE KLIP XTREME INALAMBRICO USB - AZUL,"$13,00",Crédito Directo 6 cuotas de: $3.30
mouse,Computron,TECLADO + MOUSE KLIP XTREME ALAMBRICO ERGONOMICO USB,"$18,99",Crédito Directo 3 cuotas de: $9.45
mouse,Computron,MOUSE LOGITECH INALAMBRICO M170 GRIS,"$18,99",Crédito Directo 6 cuotas de: $4.82
mouse,Computron,MOUSE LOGITECH INALAMBRICO M170 AZUL,"$18,99",Crédito Directo 6 cuotas de: $4.82
mouse,Computron,MOUSE RIPPA ALAMBRICO USB RETRACTIL NEGRO,"$7,99",Crédito Directo 3 cuotas de: $3.98
mouse,Computron,TECLADO + MOUSE LOGITECH INALAMBRICO MK235 ANTI-DERRAME,"$36,00",Crédito Directo 6 cuotas de: $9.00
mouse,Computron,MOUSE KLIP XTREME INALAMBRICO ERGONOMICO 6 BOT. NANO USB - NEGRO,"$10,99",Crédito Directo 6 cuotas de: $2.79
mouse,Computron,MOUSE KLIP XTREME INALAMBRICO ERGONOMICO 6 BOT. NANO USB - AZUL,"$11,99",Crédito Directo 6 cuotas de: $3.04
mouse,Computron,MOUSE LOGITECH INALAMBRICO M280 2.4GHZ USB NEGRO,"$29,99",Crédito Directo 3 cuotas de: $14.68
mouse,Computron,TECLADO + MOUSE LOGITECH ALAMBRICO MK200 USB,"$34,99",Crédito Directo 3 cuotas de: $17.17
mouse,Computron,TECLADO + MOUSE LOGITECH ALAMBRICO MK120 USB,"$29,99",Crédito Directo 3 cuotas de: $14.68
mouse,Computron,TECLADO + MOUSE LOGITECH INALAMBRICO MK220,"$35,99",Crédito Directo 6 cuotas de: $9.00
mouse,Computron,TECLADO + MOUSE LOGITECH INALAMBRICO MK270 UNIFYING,"$44,99",Crédito Directo 6 cuotas de: $11.16
mouse,Computron,MOUSE LOGITECH INALAMBRICO M185 2.4GHZ USB GRIS,"$27,99",Crédito Directo 3 cuotas de: $13.68
mouse,Computron,MOUSE KLIP XTREME ALAMBRICO USB - NEGRO,"$7,99",Crédito Directo 3 cuotas de: $3.98
mouse,Computron,MOUSE PAD KLIP XTREME 22.5x19.5 cm CON ALMOHADILLA GEL - NEGRO,"$7,99",Crédito Directo 3 cuotas de: $3.98
mouse,Computron,"LAPTOP ASUS VIVOBOOK 15 CI5-120U 1.4GHZ-8GB-512GB SSD-QUIET BLUE-15.6""FHD-W11+MOUSE","$699,99",Crédito Directo 3 cuotas de: $318.71
mouse,Computron,"LAPTOP ASUS VIVOBOOK 15 CI5-1334U 1.3GHZ-12GB-512GB SSD-SILVER-15.6""FHD-W11+MOUSE","$698,99",Crédito Directo 18 cuotas de: $74.91
